Pattern,mdla6_cx
resnet_quant,0.02
resnet_float,0.02
mobilenet_v3_quant,0.25
xlsr_quant,0.33
mv3_depth_quant,0.6
yolo_v8_quant,0.6
mobilenet_v3_float,0.61
inception_v3_quant,0.62
midas_v3_quant,0.66
llama2_quant.cut,0.71
mobilenet_v3_b4_quant,0.77
vsr_quant,0.77
efficientnet_b4_quant,0.96
esrgan_quant,0.97
swin_quant,1.0
xlsr_float,1.14
mobilebert_quant.cut,1.2
gpt2_quant.cut,1.44
midas_v3_float,1.54
inception_v3_float,1.56
mv3_depth_float,1.59
sd_diffusion_quant,1.61
swin_float,1.68
unet_quant,1.84
deeplab_v3_plus_quant,1.86
sam_quant.cut,2.03
mobilenet_v3_b4_float,2.13
yolo_v8_float,2.16
mobilevit_v2_float,2.16
efficientnet_b4_float,2.16
esrgan_float,2.22
vsr_float,2.37
imdn_quant,2.46
esrgan__int16,3.05
sd_encoder_quant,3.22
unet_int16,3.39
srgan_quant,3.4
sam_float.cut,3.49
unet_float,4.81
vit_b16_quant,4.83
deeplab_v3_plus_float,4.87
dped_int16,5.42
microisp_quant,5.42
imdn_float,5.58
sd_decoder_quant,6.53
microisp_int16,7.11
microisp_float,8.39
pynet_v2_quant,9.2
srgan_float,9.31
pynet_v2_float,14.38
dped_quant,23.27
dped_float,33.4
