pattern,model,start_op,end_op,op_sequence,input_shape,output_shape,suggested_slice,notes,source_path,slice_path,slice_status,error
consumer_tail,deeplab_v3_plus_float.tflite,62,63,CONV_2D -> AVERAGE_POOL_2D,"[1,64,64,960]","[1,8,8,320]",deeplab_v3_plus_float_L62_L63_consumer_tail.tflite,compute producer to POOL consumer tail,model/ETHZ_v6/deeplab_v3_plus_float.tflite,model/MB_Path_Slice/consumer_tail/deeplab_v3_plus_float_L62_L63_consumer_tail.tflite,ok,
consumer_tail,deeplab_v3_plus_float.tflite,67,68,CONV_2D -> CONCATENATION,"[1,64,64,320]","[1,64,64,512]",deeplab_v3_plus_float_L67_L68_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/deeplab_v3_plus_float.tflite,model/MB_Path_Slice/consumer_tail/deeplab_v3_plus_float_L67_L68_consumer_tail.tflite,ok,
consumer_tail,gpt2_quant.tflite,15,16,FULLY_CONNECTED -> SPLIT,"[1,77,768]","[1,77,768]",gpt2_quant_L15_L16_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/gpt2_quant.tflite,model/MB_Path_Slice/consumer_tail/gpt2_quant_L15_L16_consumer_tail.tflite,ok,
consumer_tail,imdn_float.tflite,12,13,CONV_2D -> CONCATENATION,"[1,512,512,24]","[1,512,512,32]",imdn_float_L12_L13_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/imdn_float.tflite,model/MB_Path_Slice/consumer_tail/imdn_float_L12_L13_consumer_tail.tflite,ok,
consumer_tail,imdn_float.tflite,57,58,CONV_2D -> DEPTH_TO_SPACE,"[1,512,512,32]","[1,1024,1024,3]",imdn_float_L57_L58_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/imdn_float.tflite,model/MB_Path_Slice/consumer_tail/imdn_float_L57_L58_consumer_tail.tflite,ok,
consumer_tail,imdn_float.tflite,3,4,CONV_2D -> STRIDED_SLICE,"[1,512,512,32]","[1,512,512,8]",imdn_float_L3_L4_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/imdn_float.tflite,model/MB_Path_Slice/consumer_tail/imdn_float_L3_L4_consumer_tail.tflite,ok,
consumer_tail,inception_v3_quant.tflite,15,16,CONV_2D -> CONCATENATION,"[1,40,40,192]","[1,40,40,256]",inception_v3_quant_L15_L16_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/inception_v3_quant.tflite,model/MB_Path_Slice/consumer_tail/inception_v3_quant_L15_L16_consumer_tail.tflite,ok,
consumer_tail,inception_v3_quant.tflite,3,4,CONV_2D -> MAX_POOL_2D,"[1,170,170,32]","[1,84,84,64]",inception_v3_quant_L3_L4_consumer_tail.tflite,compute producer to POOL consumer tail,model/ETHZ_v6/inception_v3_quant.tflite,model/MB_Path_Slice/consumer_tail/inception_v3_quant_L3_L4_consumer_tail.tflite,ok,
consumer_tail,inception_v3_quant.tflite,124,125,CONV_2D -> RESHAPE,"[1,1,1,2048]","[1,1001]",inception_v3_quant_L124_L125_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/inception_v3_quant.tflite,model/MB_Path_Slice/consumer_tail/inception_v3_quant_L124_L125_consumer_tail.tflite,ok,
consumer_tail,llama2_quant.tflite,52,53,FULLY_CONNECTED -> MUL,"[1,100,512]","[1,100,1376]",llama2_quant_L52_L53_consumer_tail.tflite,compute producer to binary EWE consumer tail,model/ETHZ_v6/llama2_quant.tflite,model/MB_Path_Slice/consumer_tail/llama2_quant_L52_L53_consumer_tail.tflite,ok,
consumer_tail,llama2_quant.tflite,8,9,FULLY_CONNECTED -> RESHAPE,"[1,100,512]","[1,100,8,2,32]",llama2_quant_L8_L9_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/llama2_quant.tflite,model/MB_Path_Slice/consumer_tail/llama2_quant_L8_L9_consumer_tail.tflite,ok,
consumer_tail,midas_v3_float.tflite,16,17,CONV_2D -> TRANSPOSE,"[1,30,30,192]","[1,384,14,14]",midas_v3_float_L16_L17_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/midas_v3_float.tflite,model/MB_Path_Slice/consumer_tail/midas_v3_float_L16_L17_consumer_tail.tflite,ok,
consumer_tail,midas_v3_float.tflite,20,21,FULLY_CONNECTED -> RESHAPE,"[1,196,384]","[1,196,6,128]",midas_v3_float_L20_L21_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/midas_v3_float.tflite,model/MB_Path_Slice/consumer_tail/midas_v3_float_L20_L21_consumer_tail.tflite,ok,
consumer_tail,mobilebert_quant.tflite,46,47,FULLY_CONNECTED -> PACK,"[1,384,32]","[4,384,384]",mobilebert_quant_L46_L47_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/mobilebert_quant.tflite,model/MB_Path_Slice/consumer_tail/mobilebert_quant_L46_L47_consumer_tail.tflite,ok,
consumer_tail,mobilebert_quant.tflite,1843,1844,FULLY_CONNECTED -> TRANSPOSE,"[1,384,512]","[2,1,384]",mobilebert_quant_L1843_L1844_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/mobilebert_quant.tflite,model/MB_Path_Slice/consumer_tail/mobilebert_quant_L1843_L1844_consumer_tail.tflite,ok,
